"Table 5: All Claimants and those aged 16 to 24 by Local Authority, August 2017 to 2022 (non-seasonally adjusted)",,,,,,,,,,,,
Back to Contents,,,,,,,,,,,,
This worksheet contains one table with brief notes beneath. The Guidance worksheet contains further information on interpretation.,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"DWP Stat-Xplore, Alternative Claimant Count",,,,,,,,,,,,
,All ages,,,,,,Ages 16 to 24,,,,,
Local Authority,Aug-17,Aug-18,Aug-19,Aug-20,Aug-21,Aug-22, Aug-17, Aug-18, Aug-19, Aug-20, Aug-21, Aug-22
West Berkshire,1363,1354,1425,4045,2821,1891,130,173,210,774,489,246
Windsor and Maidenhead,1508,1326,1427,4227,2958,2013,130,93,157,689,393,265
Wokingham,1156,1100,1188,3721,2514,1529,100,123,150,705,447,233
Eastbourne,1843,2045,2157,4657,3455,2596,259,319,364,926,599,460
Hastings,2446,2730,2604,5177,3938,2898,398,462,462,984,696,483
Lewes,1307,1229,1405,3536,2553,1741,191,176,217,696,482,303
Rother,1105,1311,1356,3045,2165,1556,162,213,219,611,394,241
Wealden,1306,1300,1408,4192,2907,1952,142,154,206,825,493,280
Basingstoke and Deane,1847,1772,2076,4833,3709,2666,230,213,338,921,637,449
East Hampshire,881,864,881,3021,1947,1377,119,90,115,609,264,176
Eastleigh,1104,1148,1247,3259,2225,1548,169,158,192,644,384,245
Fareham,794,826,833,2594,1659,1150,121,100,127,573,312,193
Gosport,1087,1105,1147,2849,2238,1582,196,194,231,644,477,321
Hart,611,545,552,2007,1366,870,50,43,53,378,229,93
Havant,1912,1797,1890,4761,3353,2402,279,275,305,933,596,381
New Forest,1393,1408,1568,4383,2751,1869,195,191,226,842,412,259
Rushmoor,1346,1272,1301,3257,2595,1668,138,122,188,574,380,246
Test Valley,960,951,1050,2891,1904,1390,123,116,172,590,290,211
Winchester,897,901,973,2820,2056,1396,107,101,131,563,313,201
Ashford,2093,2182,2290,5114,3467,2345,344,377,393,1032,624,399
Canterbury,2363,2211,2541,5624,3877,2826,402,348,516,1321,799,526
Dartford,1505,1387,1584,4229,3086,2053,206,185,248,742,506,337
Dover,2438,2497,2515,4798,3454,2442,407,426,473,1030,593,383
